USUARIO;SEXO;FECHA_NACIMIENTO;ORIGEN;ID_ORIGEN;INICIO_TRAYECTO;DESTINO;ID_DESTINO;FIN_TRAYECTO
8244;0;1960;Estación Autobuses;10;2015-07-16 07:30:35.243;Estación Autobuses;10;2015-07-16 07:38:55.310
11323;1;1961;Los Rosales;16;2015-07-16 07:31:19.293;Los Rosales;16;2015-07-16 07:49:17.063
8665;0;1968;Conchiñas;14;2015-07-16 07:31:32.523;Conchiñas;14;2015-07-16 07:43:55.890
8860;0;1965;Tabacos;18;2015-07-16 07:32:48.977;Tabacos;18;2015-07-16 07:39:05.870
9149;0;1982;Casa del Agua;9;2015-07-16 07:33:48.473;Obelisco;7;2015-07-16 07:39:38.990
11554;0;1960;Los Rosales;16;2015-07-16 07:33:55.433;Conchiñas;14;2015-07-16 07:44:33.253
12663;0;1968;Estación de Tren;1;2015-07-16 07:34:39.953;Plz. de España;20;2015-07-16 07:50:23.267
12817;0;1961;Estación de Tren;1;2015-07-16 07:35:50.230;Plz Pontevedra;6;2015-07-16 07:45:56.437
7845;0;1977;Praza de Vigo;13;2015-07-16 07:37:11.287;Castros;11;2015-07-16 07:45:22.620
8970;0;1953;Conchiñas;14;2015-07-16 07:41:26.730;Matogrande;15;2015-07-16 07:55:06.083
3619;0;1959;Estación de Tren;1;2015-07-16 07:42:13.913;Plz Pontevedra;6;2015-07-16 07:50:51.483
12912;1;1977;Monelos;23;2015-07-16 07:42:28.183;Obelisco;7;2015-07-16 07:54:57.270
6267;0;1979;Campo de Marte;17;2015-07-16 07:43:35.690;Estación Autobuses;10;2015-07-16 07:57:49.497
11442;0;1986;Sagrada Familia;21;2015-07-16 07:44:04.663;Estación de Tren;1;2015-07-16 07:47:23.247
12306;0;1955;Torre de Hércules;3;2015-07-16 07:44:07.033;Plz Pontevedra;6;2015-07-16 07:55:40.393
12616;0;1982;Monelos;23;2015-07-16 07:44:31.090;Los Rosales;16;2015-07-16 08:10:42.373
12562;1;1968;Aquarium;5;2015-07-16 07:44:32.510;Plz Pontevedra;6;2015-07-16 07:52:09.983
11630;1;1967;Castros;11;2015-07-16 07:45:27.260;Puerto;12;2015-07-16 07:55:55.803
5355;1;1979;Tabacos;18;2015-07-16 07:45:38.880;Obelisco;7;2015-07-16 08:08:04.783
10855;0;1978;Campo de Marte;17;2015-07-16 07:46:29.733;Plz Pontevedra;6;2015-07-16 07:52:04.917
11860;0;1994;Paseo Puentes;22;2015-07-16 07:46:49.097;Plz Pontevedra;6;2015-07-16 07:51:49.467
9722;0;1978;Tabacos;18;2015-07-16 07:47:05.630;Obelisco;7;2015-07-16 07:53:30.690
12517;1;1974;Paseo Puentes;22;2015-07-16 07:47:08.870;Puerto;12;2015-07-16 07:55:12.823
12891;0;1983;Los Rosales;16;2015-07-16 07:48:18.523;Plz Pontevedra;6;2015-07-16 08:00:01.267
11992;1;1984;Aquarium;5;2015-07-16 07:50:03.833;Sol;19;2015-07-16 07:55:42.110
12890;0;1964;Tabacos;18;2015-07-16 07:50:17.207;Obelisco;7;2015-07-16 07:58:10.907
12457;0;1962;Casa del Agua;9;2015-07-16 07:52:00.473;Plz Pontevedra;6;2015-07-16 07:57:53.947
11782;0;1998;Los Rosales;16;2015-07-16 07:52:58.350;Plz Pontevedra;6;2015-07-16 08:02:00.947
10290;1;1980;Aquarium;5;2015-07-16 07:53:20.630;Sol;19;2015-07-16 07:58:43.313
